Car,order_date
Renault Clio (2020),2017-09-26 10:04:16.261538
Volvo C40 Recharge (2023),2017-12-24 10:04:16.263538
Renault Zoe (2022),2022-09-13 10:04:16.265538
BMW i4 (2022),2016-05-17 10:04:16.267538
Skoda Enyaq (2023),2024-10-13 10:04:16.270574
Mazda MX-5 (2019),2017-04-19 10:04:16.272541
Renault Clio (2020),2019-08-07 10:04:16.274548
Dacia Sandero (2022),2021-06-28 10:04:16.276541
Fiat Panda (2020),2019-12-25 10:04:16.278543
Audi A4 (2016),2023-01-24 10:04:16.280547
Hyundai i30 (2016),2018-10-16 10:04:16.283538
Peugeot e-208 (2023),2015-11-08 10:04:16.285541
Audi A3 (2019),2021-02-01 10:04:16.287543
Tesla Model 3 (2022),2015-12-15 10:04:16.290544
Skoda Kodiaq (2019),2018-12-07 10:04:16.292563
Fiat Panda (2020),2022-06-02 10:04:16.294541
Mazda MX-5 (2019),2019-01-11 10:04:16.296542
Toyota Corolla (2021),2017-10-12 10:04:16.298540
Mazda CX-5 (2019),2021-06-03 10:04:16.301538
Skoda Kodiaq (2019),2019-02-23 10:04:16.303536
Dacia Duster (2021),2015-12-16 10:04:16.305538
Kia Niro (2022),2023-10-22 10:04:16.307540
Tesla Model 3 (2022),2016-09-12 10:04:16.310541
Volvo XC60 (2015),2022-12-06 10:04:16.312597
Mercedes EQC (2022),2023-11-07 10:04:16.314540
Subaru Forester (2020),2016-06-21 10:04:16.316543
Kia Sportage (2018),2020-06-26 10:04:16.319559
Toyota C-HR (2022),2017-10-16 10:04:16.321603
Suzuki Vitara (2020),2019-09-21 10:04:16.323543
Mercedes EQB (2023),2023-06-04 10:04:16.326640
Ford Puma (2023),2017-09-11 10:04:16.328640
Toyota Corolla (2021),2024-09-03 10:04:16.330626
Dacia Sandero (2022),2018-04-25 10:04:16.332592
Mercedes EQC (2022),2021-08-03 10:04:16.334656
Renault Clio (2020),2022-01-24 10:04:16.337545
Audi A4 (2016),2019-03-19 10:04:16.339613
Volvo C40 Recharge (2023),2021-10-17 10:04:16.341559
Kia EV6 (2022),2025-01-06 10:04:16.343572
Mercedes EQB (2023),2015-12-20 10:04:16.346673
Hyundai Kona (2021),2022-09-17 10:04:16.348602
Mazda MX-30 (2022),2020-06-20 10:04:16.350559
Renault Megane (2021),2021-08-20 10:04:16.353144
Smart EQ ForTwo (2022),2015-07-29 10:04:16.355166
Ford Kuga (2020),2019-03-26 10:04:16.357161
Suzuki Swift (2021),2023-03-31 10:04:16.359227
Ford Puma (2023),2020-04-29 10:04:16.362164
Hyundai Tucson (2020),2017-02-03 10:04:16.364164
Fiat Panda (2020),2023-03-26 10:04:16.366159
Mazda MX-30 (2022),2016-09-09 10:04:16.369168
Alfa Romeo Stelvio (2021),2020-02-03 10:04:16.371257
Skoda Octavia (2019),2019-02-25 10:04:16.374164
Nissan Juke (2021),2021-03-18 10:04:16.377164
Nissan Qashqai (2017),2023-12-21 10:04:16.380157
Dacia Sandero (2022),2022-08-28 10:04:16.382156
Kia Niro (2022),2018-01-04 10:04:16.385162
Alfa Romeo Stelvio (2021),2023-12-20 10:04:16.388158
Fiat Panda (2020),2015-11-29 10:04:16.390163
Hyundai Kona (2021),2016-04-09 10:04:16.393159
Mercedes EQB (2023),2019-01-21 10:04:16.395159
Kia Sportage (2018),2024-03-07 10:04:16.397160
Audi Q3 (2022),2025-01-05 10:04:16.400168
Toyota RAV4 (2019),2024-07-17 10:04:16.403159
Volvo C40 Recharge (2023),2025-02-10 10:04:16.405158
Dacia Sandero (2022),2017-12-12 10:04:16.407160
Audi Q3 (2022),2016-09-28 10:04:16.410163
Peugeot 2008 (2023),2025-04-23 10:04:16.412157
Fiat Panda (2020),2021-09-24 10:04:16.414157
Ford Focus (2018),2020-06-09 10:04:16.417155
Lexus UX (2021),2020-06-28 10:04:16.419183
Opel Astra (2017),2022-04-27 10:04:16.422156
Volvo C40 Recharge (2023),2017-07-03 10:04:16.424157
Alfa Romeo Stelvio (2021),2017-07-29 10:04:16.426156
Jeep Renegade (2021),2024-08-26 10:04:16.428155
Fiat Panda (2020),2018-09-08 10:04:16.430195
Jaguar F-PACE (2021),2018-08-03 10:04:16.432156
Honda e (2021),2019-06-16 10:04:16.434157
Jaguar F-PACE (2021),2019-11-07 10:04:16.437159
Mercedes C-Class (2019),2020-09-14 10:04:16.439164
Mazda MX-5 (2019),2022-01-25 10:04:16.441165
Honda HR-V (2022),2022-01-31 10:04:16.443176
Alfa Romeo Stelvio (2021),2019-10-11 10:04:16.445165
Mazda MX-30 (2022),2019-01-26 10:04:16.447165
Dacia Sandero (2022),2018-12-12 10:04:16.450209
Toyota Yaris (2023),2024-03-22 10:04:16.452166
Cupra Born (2023),2016-11-21 10:04:16.454401
Jeep Compass (2020),2021-04-19 10:04:16.456400
Honda e (2021),2017-08-09 10:04:16.459403
BMW i4 (2022),2019-09-19 10:04:16.461402
Lexus UX (2021),2017-12-23 10:04:16.463401
Alfa Romeo Giulia (2022),2016-11-12 10:04:16.465407
Skoda Kodiaq (2019),2021-10-01 10:04:16.467402
Mazda MX-5 (2019),2016-01-03 10:04:16.470486
Lexus UX (2021),2025-05-08 10:04:16.472408
Jaguar E-PACE (2022),2018-08-15 10:04:16.474405
Audi A3 (2019),2024-02-19 10:04:16.477490
Alfa Romeo Stelvio (2021),2025-02-23 10:04:16.480412
Mercedes EQC (2022),2020-04-21 10:04:16.482438
Mazda Mazda3 (2020),2022-04-13 10:04:16.485411
Renault Clio (2020),2019-05-06 10:04:16.488409
Hyundai Tucson (2020),2023-09-19 10:04:16.490409
Smart EQ ForTwo (2022),2023-11-28 10:04:16.493758
Tesla Model Y (2023),2020-04-24 10:04:16.495758
Renault Megane (2021),2022-10-03 10:04:16.497758
Skoda Octavia (2019),2018-07-24 10:04:16.500758
Mercedes A-Class (2021),2023-05-18 10:04:16.502759
BMW 3 Series (2018),2017-06-28 10:04:16.504760
Subaru Forester (2020),2023-02-04 10:04:16.506758
Skoda Octavia (2019),2019-09-15 10:04:16.509760
Lexus NX (2023),2022-08-17 10:04:16.512758
Volkswagen ID.3 (2022),2016-04-25 10:04:16.514757
Suzuki Vitara (2020),2017-01-22 10:04:16.516759
BMW iX1 (2023),2020-03-13 10:04:16.518759
Honda Civic (2015),2016-09-25 10:04:16.521760
Opel Corsa (2020),2018-02-28 10:04:16.523761
Mini Cooper (2020),2024-10-31 10:04:16.525760
BMW X1 (2021),2019-05-08 10:04:16.527766
Suzuki Vitara (2020),2020-10-26 10:04:16.529760
Peugeot e-208 (2023),2024-05-15 10:04:16.531772
Audi A4 (2016),2024-12-17 10:04:16.534759
Suzuki Vitara (2020),2015-10-23 10:04:16.536766
Ford Puma (2023),2015-12-13 10:04:16.538775
Toyota Yaris (2023),2019-04-14 10:04:16.540770
Opel Mokka (2021),2021-03-05 10:04:16.543774
Kia Sportage (2018),2019-12-23 10:04:16.545770
Tesla Model 3 (2022),2016-01-22 10:04:16.547769
Nissan Ariya (2023),2016-10-22 10:04:16.549773
BMW 5 Series (2017),2020-07-14 10:04:16.551771
Audi A4 (2016),2022-08-21 10:04:16.554303
Honda e (2021),2022-04-08 10:04:16.557292
Mazda MX-30 (2022),2021-06-28 10:04:16.559293
Mini Countryman (2022),2023-10-25 10:04:16.561292
Citroen C3 (2018),2021-03-10 10:04:16.563294
BMW i4 (2022),2023-06-03 10:04:16.565290
Ford Puma (2023),2025-06-01 10:04:16.567289
Jeep Compass (2020),2021-02-02 10:04:16.569288
Suzuki Vitara (2020),2015-09-09 10:04:16.571287
Cupra Formentor (2022),2018-03-07 10:04:16.573293
Nissan Juke (2021),2017-12-20 10:04:16.575289
Subaru Impreza (2019),2022-03-20 10:04:16.577289
Volkswagen Tiguan (2018),2016-03-08 10:04:16.579287
Jeep Compass (2020),2019-06-27 10:04:16.581287
Audi Q3 (2022),2020-11-17 10:04:16.583287
Mazda Mazda3 (2020),2018-01-06 10:04:16.585288
Opel Corsa (2020),2017-05-19 10:04:16.587289
Ford Puma (2023),2022-02-17 10:04:16.589288
Renault Megane (2021),2023-05-09 10:04:16.591288
Jaguar E-PACE (2022),2018-05-03 10:04:16.594293
Smart EQ ForTwo (2022),2017-04-15 10:04:16.596291
Skoda Kodiaq (2019),2016-09-21 10:04:16.598290
Jaguar E-PACE (2022),2023-12-28 10:04:16.600289
Ford Kuga (2020),2021-07-25 10:04:16.602290
Jaguar E-PACE (2022),2024-01-03 10:04:16.604304
Fiat 500X (2019),2015-10-18 10:04:16.607291
Toyota Corolla (2021),2020-04-28 10:04:16.610305
Nissan Ariya (2023),2022-10-14 10:04:16.613311
Volkswagen ID.3 (2022),2018-07-04 10:04:16.615302
Kia Niro (2022),2023-02-17 10:04:16.617301
Smart EQ ForTwo (2022),2022-01-01 10:04:16.619301
Suzuki Vitara (2020),2025-04-18 10:04:16.622302
Mini Cooper (2020),2022-07-15 10:04:16.624302
Lexus UX (2021),2017-01-24 10:04:16.627296
Lexus UX (2021),2020-02-24 10:04:16.629302
Dacia Duster (2021),2019-11-16 10:04:16.631290
Audi A4 (2016),2024-10-31 10:04:16.634313
Mercedes GLA (2020),2021-07-20 10:04:16.636313
Seat Arona (2022),2022-03-20 10:04:16.638313
Mazda MX-30 (2022),2020-07-11 10:04:16.640301
Dacia Sandero (2022),2016-06-02 10:04:16.642315
Dacia Duster (2021),2016-11-10 10:04:16.644313
Subaru Forester (2020),2015-09-07 10:04:16.646398
Honda Civic (2015),2023-03-20 10:04:16.648973
Volvo XC40 (2022),2021-12-16 10:04:16.651078
Audi Q5 (2014),2020-07-19 10:04:16.653636
Fiat Panda (2020),2020-11-16 10:04:16.655667
Seat Leon (2017),2016-08-25 10:04:16.657700
Volkswagen Tiguan (2018),2023-10-04 10:04:16.659751
Citroen C5 Aircross (2021),2024-03-05 10:04:16.661749
Mercedes EQB (2023),2025-01-27 10:04:16.664649
Hyundai Tucson (2020),2021-01-16 10:04:16.666725
Subaru Impreza (2019),2018-02-10 10:04:16.668748
Peugeot 2008 (2023),2019-03-21 10:04:16.670649
Skoda Scala (2020),2022-06-23 10:04:16.673697
BMW i4 (2022),2025-01-16 10:04:16.675751
Nissan Leaf (2020),2017-04-10 10:04:16.677647
Volkswagen Golf (2019),2019-09-06 10:04:16.679746
Skoda Octavia (2019),2024-08-11 10:04:16.682647
Alfa Romeo Giulia (2022),2017-03-28 10:04:16.684648
Mercedes EQB (2023),2019-02-18 10:04:16.686746
Toyota RAV4 (2019),2019-11-21 10:04:16.688647
Volkswagen Golf (2019),2015-12-21 10:04:16.691750
Jeep Renegade (2021),2022-12-21 10:04:16.693778
Subaru Forester (2020),2021-12-10 10:04:16.695750
Peugeot 308 (2016),2023-04-01 10:04:16.697750
BMW X1 (2021),2018-01-02 10:04:16.700648
Jaguar E-PACE (2022),2020-01-11 10:04:16.702750
Tesla Model Y (2023),2023-03-26 10:04:16.704768
Audi Q5 (2014),2020-05-21 10:04:16.707753
Nissan Juke (2021),2016-04-28 10:04:16.709665
Lexus NX (2023),2015-11-15 10:04:16.711647
Volvo XC40 (2022),2023-06-15 10:04:16.714649
Nissan Qashqai (2017),2018-12-29 10:04:16.716698
Skoda Scala (2020),2015-11-24 10:04:16.719648
Kia Sportage (2018),2019-03-16 10:04:16.722698
Renault Zoe (2022),2024-10-18 10:04:16.724648
MG ZS EV (2022),2017-04-29 10:04:16.726648
Peugeot e-208 (2023),2018-06-11 10:04:16.729707
Suzuki Swift (2021),2020-09-17 10:04:16.731706
Seat Arona (2022),2017-07-03 10:04:16.733743
Fiat 500e (2021),2024-07-06 10:04:16.735650
Mini Cooper (2020),2021-07-05 10:04:16.738648
Volvo C40 Recharge (2023),2017-01-26 10:04:16.740774
Cupra Born (2023),2025-02-01 10:04:16.742759
Jaguar F-PACE (2021),2025-06-02 10:04:16.744763
MG ZS EV (2022),2023-07-24 10:04:16.746761
Mercedes GLA (2020),2020-06-16 10:04:16.749662
Seat Leon (2017),2019-11-16 10:04:16.751662
Mini Cooper (2020),2015-12-24 10:04:16.754169
Mercedes A-Class (2021),2019-12-04 10:04:16.756187
BMW 3 Series (2018),2017-01-01 10:04:16.758182
Jaguar E-PACE (2022),2020-04-25 10:04:16.761188
Kia Sportage (2018),2018-11-04 10:04:16.763277
Citroen C5 Aircross (2021),2019-01-15 10:04:16.765275
Subaru Forester (2020),2020-07-28 10:04:16.767187
Mazda Mazda3 (2020),2015-09-07 10:04:16.770182
Mazda CX-5 (2019),2018-12-08 10:04:16.772241
Ford Kuga (2020),2022-09-24 10:04:16.774281
Jaguar F-PACE (2021),2021-03-29 10:04:16.776278
BMW X1 (2021),2018-02-12 10:04:16.778184
Audi A3 (2019),2025-06-06 10:04:16.781180
Fiat 500X (2019),2017-01-30 10:04:16.783181
Mazda CX-5 (2019),2018-01-30 10:04:16.785180
Mini Countryman (2022),2024-12-02 10:04:16.787185
Renault Zoe (2022),2024-11-15 10:04:16.789190
Suzuki Vitara (2020),2025-03-11 10:04:16.792184
Audi e-tron (2021),2024-03-24 10:04:16.794184
Kia Sportage (2018),2018-11-27 10:04:16.797183
Volvo XC60 (2015),2022-06-25 10:04:16.799238
Honda Civic (2015),2022-03-05 10:04:16.802183
Seat Leon (2017),2024-08-09 10:04:16.804184
Mazda MX-5 (2019),2025-06-17 10:04:16.807181
Honda Civic (2015),2022-11-12 10:04:16.809181
Nissan Leaf (2020),2022-04-11 10:04:16.811244
Honda e (2021),2024-12-10 10:04:16.814180
Mercedes EQC (2022),2021-08-30 10:04:16.816184
Kia Niro (2022),2019-07-25 10:04:16.819229
Nissan Juke (2021),2021-10-25 10:04:16.821184
Skoda Scala (2020),2019-02-15 10:04:16.824280
Audi e-tron (2021),2022-07-25 10:04:16.826184
Mercedes EQB (2023),2016-06-16 10:04:16.828187
Ford Focus (2018),2017-09-30 10:04:16.831180
Ford Kuga (2020),2019-05-15 10:04:16.833181
Opel Mokka (2021),2017-01-21 10:04:16.835185
Tesla Model 3 (2022),2019-09-09 10:04:16.838256
MG ZS EV (2022),2023-06-02 10:04:16.840266
Audi A3 (2019),2018-05-27 10:04:16.842273
Opel Mokka (2021),2021-01-25 10:04:16.844266
Jeep Renegade (2021),2017-12-06 10:04:16.848276
Cupra Born (2023),2022-06-05 10:04:16.851266
Toyota Yaris (2023),2016-06-11 10:04:16.854789
Lexus NX (2023),2018-04-20 10:04:16.858792
Subaru Forester (2020),2023-11-25 10:04:16.861792
Hyundai IONIQ 5 (2023),2015-10-11 10:04:16.865801
Cupra Born (2023),2016-09-12 10:04:16.868791
Citroen C3 (2018),2018-02-09 10:04:16.870788
Tesla Model Y (2023),2019-03-01 10:04:16.873790
Honda e (2021),2017-12-06 10:04:16.877873
Honda e (2021),2017-07-13 10:04:16.880803
BMW X1 (2021),2020-11-18 10:04:16.883791
Audi Q5 (2014),2017-01-09 10:04:16.887790
Tesla Model Y (2023),2023-10-11 10:04:16.893788
Skoda Scala (2020),2025-06-05 10:04:16.897801
Hyundai Kona (2021),2020-09-20 10:04:16.901790
Skoda Octavia (2019),2015-08-09 10:04:16.904795
Ford Puma (2023),2024-07-06 10:04:16.907799
Mercedes GLA (2020),2021-05-01 10:04:16.910788
Hyundai Tucson (2020),2020-08-28 10:04:16.912790
Ford Puma (2023),2025-05-20 10:04:16.916792
Hyundai i30 (2016),2018-09-14 10:04:16.919787
Honda Civic (2015),2021-07-07 10:04:16.922797
Skoda Scala (2020),2023-09-17 10:04:16.925802
Volkswagen ID.4 (2023),2023-03-12 10:04:16.929801
Seat Leon (2017),2020-05-07 10:04:16.932790
Peugeot 2008 (2023),2022-12-13 10:04:16.935786
Nissan Ariya (2023),2023-05-04 10:04:16.939812
Alfa Romeo Stelvio (2021),2025-02-07 10:04:16.943813
Fiat 500e (2021),2021-08-10 10:04:16.946808
Volkswagen Golf (2019),2020-10-19 10:04:16.950806
Mazda CX-5 (2019),2025-03-22 10:04:16.953806
Jeep Compass (2020),2023-02-15 10:04:16.956315
Audi Q3 (2022),2017-06-04 10:04:16.960305
Fiat 500e (2021),2019-09-26 10:04:16.963303
Audi A3 (2019),2016-06-10 10:04:16.966305
Opel Mokka (2021),2017-05-22 10:04:16.969306
Dacia Duster (2021),2022-03-17 10:04:16.972311
Mercedes A-Class (2021),2018-12-02 10:04:16.975305
Mazda MX-5 (2019),2017-11-04 10:04:16.977306
Smart EQ ForTwo (2022),2017-03-05 10:04:16.980306
Ford Kuga (2020),2023-08-26 10:04:16.983312
Seat Arona (2022),2017-04-09 10:04:16.985306
Mercedes EQC (2022),2018-03-22 10:04:16.988306
Jaguar E-PACE (2022),2017-03-05 10:04:16.990321
Renault Zoe (2022),2017-03-15 10:04:16.992323
MG ZS EV (2022),2023-05-30 10:04:16.994306
Cupra Formentor (2022),2025-02-07 10:04:16.996317
Volvo XC40 (2022),2018-04-01 10:04:16.999314
BMW 5 Series (2017),2020-01-23 10:04:17.001314
Skoda Octavia (2019),2018-12-12 10:04:17.002315
Suzuki Vitara (2020),2022-12-26 10:04:17.004314
Fiat Panda (2020),2020-10-26 10:04:17.006318
Volkswagen ID.4 (2023),2015-11-23 10:04:17.009827
Citroen C5 Aircross (2021),2018-05-31 10:04:17.012838
Nissan Qashqai (2017),2017-11-04 10:04:17.015839
Nissan Qashqai (2017),2016-09-07 10:04:17.018837
Mercedes A-Class (2021),2019-11-12 10:04:17.020837
Nissan Ariya (2023),2020-07-16 10:04:17.023838
Mazda Mazda3 (2020),2025-05-04 10:04:17.026836
Mazda CX-5 (2019),2022-09-29 10:04:17.029836
Ford Kuga (2020),2023-10-23 10:04:17.031838
Fiat 500X (2019),2025-05-01 10:04:17.034849
Jaguar F-PACE (2021),2018-10-30 10:04:17.037837
Audi e-tron (2021),2020-01-13 10:04:17.039844
Volvo C40 Recharge (2023),2024-09-27 10:04:17.042843
Seat Leon (2017),2020-07-13 10:04:17.044844
Mazda Mazda3 (2020),2020-04-23 10:04:17.047850
Mercedes EQB (2023),2018-05-16 10:04:17.050844
Audi Q3 (2022),2018-11-07 10:04:17.053843
Nissan Leaf (2020),2018-04-07 10:04:17.056125
Suzuki Vitara (2020),2016-07-21 10:04:17.059124
Peugeot 2008 (2023),2019-02-22 10:04:17.062125
Volkswagen ID.3 (2022),2025-05-23 10:04:17.065124
BMW 3 Series (2018),2022-05-07 10:04:17.068126
Fiat Panda (2020),2018-10-02 10:04:17.070125
Peugeot e-208 (2023),2022-07-19 10:04:17.073128
Lexus UX (2021),2020-08-05 10:04:17.076124
Nissan Leaf (2020),2024-12-04 10:04:17.078125
BMW iX1 (2023),2020-11-09 10:04:17.081126
Dacia Duster (2021),2019-09-20 10:04:17.084122
Hyundai Kona (2021),2019-11-30 10:04:17.086122
Volkswagen Golf (2019),2024-05-27 10:04:17.089123
Peugeot e-208 (2023),2018-03-28 10:04:17.092122
Jaguar E-PACE (2022),2024-04-04 10:04:17.094122
Renault Zoe (2022),2024-01-23 10:04:17.096122
Honda HR-V (2022),2024-01-25 10:04:17.098122
Suzuki Swift (2021),2021-02-26 10:04:17.101122
Citroen C3 (2018),2023-01-15 10:04:17.103122
Jeep Compass (2020),2025-02-11 10:04:17.105122
Suzuki Swift (2021),2018-11-09 10:04:17.107122
Peugeot 2008 (2023),2019-11-30 10:04:17.109122
Tesla Model Y (2023),2025-01-17 10:04:17.111122
Audi e-tron (2021),2017-03-10 10:04:17.113122
Volkswagen Tiguan (2018),2019-02-11 10:04:17.115122
Volkswagen Tiguan (2018),2020-12-19 10:04:17.117122
Mercedes EQB (2023),2018-01-29 10:04:17.119122
Toyota C-HR (2022),2019-11-25 10:04:17.122122
MG ZS EV (2022),2016-04-05 10:04:17.124125
Volkswagen ID.4 (2023),2015-08-27 10:04:17.126124
Peugeot e-208 (2023),2019-02-03 10:04:17.128137
Dacia Sandero (2022),2017-03-02 10:04:17.130129
BMW i4 (2022),2024-06-23 10:04:17.132125
Tesla Model 3 (2022),2017-03-31 10:04:17.134125
Renault Clio (2020),2018-04-25 10:04:17.136142
Mini Countryman (2022),2018-09-21 10:04:17.138124
Cupra Formentor (2022),2016-05-01 10:04:17.140134
Toyota Yaris (2023),2023-12-19 10:04:17.142129
Suzuki Swift (2021),2021-04-15 10:04:17.144129
BMW 3 Series (2018),2021-04-20 10:04:17.147128
Subaru Forester (2020),2020-06-15 10:04:17.149128
Mazda CX-5 (2019),2023-02-07 10:04:17.152128
Skoda Enyaq (2023),2019-06-11 10:04:17.154128
BMW 5 Series (2017),2024-10-29 10:04:17.156645
Volvo C40 Recharge (2023),2020-09-26 10:04:17.158641
Audi e-tron (2021),2019-08-05 10:04:17.160646
BMW 3 Series (2018),2024-03-23 10:04:17.163643
Ford Kuga (2020),2025-03-15 10:04:17.165649
Subaru Forester (2020),2017-10-08 10:04:17.168641
Volvo XC60 (2015),2016-08-14 10:04:17.171151
Jeep Compass (2020),2023-07-22 10:04:17.174153
Hyundai Tucson (2020),2017-11-27 10:04:17.176153
Kia Sportage (2018),2020-04-13 10:04:17.179152
BMW 3 Series (2018),2024-10-11 10:04:17.182158
Ford Focus (2018),2020-04-03 10:04:17.185154
Subaru Impreza (2019),2024-04-26 10:04:17.188153
Mazda MX-5 (2019),2025-02-08 10:04:17.190157
Volvo XC40 (2022),2017-02-04 10:04:17.192155
Jeep Renegade (2021),2025-05-13 10:04:17.194152
BMW 5 Series (2017),2016-03-26 10:04:17.195151
Seat Arona (2022),2025-04-13 10:04:17.198152
Nissan Leaf (2020),2017-11-10 10:04:17.202169
Renault Megane (2021),2022-06-19 10:04:17.208163
Lexus UX (2021),2019-02-16 10:04:17.214165
Volkswagen Tiguan (2018),2018-08-22 10:04:17.218164
Toyota RAV4 (2019),2019-05-24 10:04:17.223165
BMW iX1 (2023),2022-05-30 10:04:17.226162
Ford Focus (2018),2016-12-26 10:04:17.229153
Seat Arona (2022),2016-01-21 10:04:17.233162
Toyota RAV4 (2019),2018-06-23 10:04:17.236155
Lexus UX (2021),2020-02-24 10:04:17.240194
Mini Countryman (2022),2022-05-03 10:04:17.243176
Volkswagen Golf (2019),2020-01-26 10:04:17.246176
Toyota C-HR (2022),2018-02-24 10:04:17.249176
BMW 3 Series (2018),2021-03-26 10:04:17.252210
Mercedes EQB (2023),2024-08-31 10:04:17.255417
Subaru Impreza (2019),2020-07-28 10:04:17.259426
Kia Niro (2022),2023-10-18 10:04:17.267426
Fiat 500e (2021),2021-10-14 10:04:17.270421
Peugeot 308 (2016),2021-04-29 10:04:17.274413
Mini Cooper (2020),2018-06-09 10:04:17.278409
Toyota RAV4 (2019),2024-03-31 10:04:17.281410
Skoda Octavia (2019),2021-05-30 10:04:17.284409
Toyota Yaris (2023),2019-08-14 10:04:17.287409
Citroen C5 Aircross (2021),2018-05-22 10:04:17.291411
Smart EQ ForTwo (2022),2016-02-01 10:04:17.294409
Peugeot 308 (2016),2016-07-07 10:04:17.297414
BMW X1 (2021),2023-10-21 10:04:17.300409
Renault Megane (2021),2023-08-24 10:04:17.303408
BMW iX1 (2023),2021-09-01 10:04:17.306411
Audi Q5 (2014),2018-12-27 10:04:17.308409
Mazda Mazda3 (2020),2019-09-07 10:04:17.311409
MG ZS EV (2022),2024-08-12 10:04:17.313412
Nissan Juke (2021),2015-10-30 10:04:17.315408
Kia Niro (2022),2023-02-09 10:04:17.317408
Volvo XC60 (2015),2015-12-06 10:04:17.319409
BMW iX1 (2023),2019-12-01 10:04:17.322408
Toyota Corolla (2021),2022-09-12 10:04:17.324409
Smart EQ ForTwo (2022),2019-09-21 10:04:17.327408
Volkswagen ID.3 (2022),2023-11-27 10:04:17.329412
Mini Countryman (2022),2021-04-20 10:04:17.331408
Volkswagen ID.4 (2023),2025-01-31 10:04:17.333409
BMW i4 (2022),2017-11-20 10:04:17.335411
Toyota Corolla (2021),2019-05-26 10:04:17.337408
Mini Cooper (2020),2019-12-07 10:04:17.340413
BMW i4 (2022),2017-04-20 10:04:17.342412
Smart EQ ForTwo (2022),2015-11-12 10:04:17.344413
Skoda Enyaq (2023),2022-08-26 10:04:17.345413
Tesla Model 3 (2022),2020-12-17 10:04:17.347413
Toyota Yaris (2023),2021-03-03 10:04:17.350413
Mercedes GLA (2020),2018-02-22 10:04:17.352413
Fiat 500e (2021),2022-09-13 10:04:17.354413
Opel Astra (2017),2020-01-13 10:04:17.355924
Jaguar F-PACE (2021),2023-11-28 10:04:17.357922
Alfa Romeo Giulia (2022),2023-11-18 10:04:17.359922
Kia Niro (2022),2020-02-02 10:04:17.361922
Toyota Yaris (2023),2021-04-23 10:04:17.362925
Tesla Model 3 (2022),2020-03-14 10:04:17.365922
Lexus NX (2023),2025-07-01 10:04:17.367922
Fiat 500e (2021),2024-10-08 10:04:17.369922
Jaguar E-PACE (2022),2017-12-24 10:04:17.373940
Renault Zoe (2022),2024-02-18 10:04:17.375937
Peugeot 308 (2016),2024-02-14 10:04:17.378937
Audi Q5 (2014),2018-10-22 10:04:17.381942
Fiat 500X (2019),2025-06-06 10:04:17.383936
Hyundai Tucson (2020),2016-08-10 10:04:17.385923
Renault Megane (2021),2022-09-03 10:04:17.388923
Fiat 500X (2019),2020-12-16 10:04:17.390939
Skoda Enyaq (2023),2023-02-24 10:04:17.392936
Opel Mokka (2021),2020-06-26 10:04:17.395926
Mazda Mazda3 (2020),2020-05-04 10:04:17.398924
Volvo XC60 (2015),2015-11-26 10:04:17.400937
Volkswagen Tiguan (2018),2018-10-17 10:04:17.402937
Jaguar F-PACE (2021),2025-02-19 10:04:17.405926
Toyota Yaris (2023),2019-04-09 10:04:17.408948
Mercedes EQC (2022),2023-03-20 10:04:17.411925
Citroen C3 (2018),2021-12-16 10:04:17.414925
Skoda Octavia (2019),2024-05-01 10:04:17.417926
Audi A3 (2019),2022-01-02 10:04:17.420924
Skoda Octavia (2019),2024-08-25 10:04:17.423925
Nissan Juke (2021),2021-05-29 10:04:17.426926
Smart EQ ForTwo (2022),2024-02-16 10:04:17.429926
Dacia Sandero (2022),2023-08-01 10:04:17.432926
Citroen C5 Aircross (2021),2016-04-02 10:04:17.436926
Opel Mokka (2021),2020-05-06 10:04:17.439934
Kia Niro (2022),2017-03-16 10:04:17.443936
Skoda Kodiaq (2019),2018-03-08 10:04:17.446937
Toyota RAV4 (2019),2018-12-13 10:04:17.449936
Kia EV6 (2022),2018-02-19 10:04:17.452936
Citroen C5 Aircross (2021),2025-01-05 10:04:17.457456
Opel Mokka (2021),2021-08-19 10:04:17.460452
Jaguar E-PACE (2022),2016-10-02 10:04:17.463455
Opel Astra (2017),2021-02-25 10:04:17.466454
Kia EV6 (2022),2022-04-04 10:04:17.470452
Skoda Kodiaq (2019),2022-07-15 10:04:17.473452
Mazda MX-5 (2019),2016-10-15 10:04:17.475452
Nissan Juke (2021),2020-07-11 10:04:17.478452
Jeep Renegade (2021),2024-11-23 10:04:17.481460
Mercedes GLA (2020),2019-08-02 10:04:17.484452
Seat Arona (2022),2021-01-13 10:04:17.487452
BMW 5 Series (2017),2023-05-20 10:04:17.489452
BMW i4 (2022),2020-08-28 10:04:17.492452
Jeep Compass (2020),2024-07-01 10:04:17.494451
Ford Kuga (2020),2025-06-29 10:04:17.496452
Skoda Enyaq (2023),2018-09-23 10:04:17.499452
Lexus NX (2023),2024-04-07 10:04:17.501452
Toyota RAV4 (2019),2021-02-14 10:04:17.503452
Fiat Panda (2020),2025-04-15 10:04:17.505452
Mercedes EQC (2022),2017-08-29 10:04:17.508455
Skoda Enyaq (2023),2023-08-15 10:04:17.510455
Suzuki Swift (2021),2015-11-26 10:04:17.512476
Subaru Forester (2020),2024-06-15 10:04:17.515489
Hyundai Tucson (2020),2021-09-19 10:04:17.517496
Jeep Compass (2020),2021-11-14 10:04:17.519491
Kia Sportage (2018),2017-07-08 10:04:17.521490
